warehouse,floor_no,rack_no,location_id,x,y,z
5BTG,3,40,3404351,-8868.0,1793.0,475.0
5BTG,3,40,3405351,-8868.0,1793.0,630.0
5BTG,3,40,3406351,-8868.0,1793.0,785.0
5BTG,3,40,3407351,-8868.0,1793.0,940.0
5BTG,3,40,3401361,-9008.0,1793.0,0.0
5BTG,3,40,3402361,-9008.0,1793.0,165.0
5BTG,3,40,3403361,-9008.0,1793.0,320.0
5BTG,3,40,3404361,-9008.0,1793.0,475.0
5BTG,3,40,3405361,-9008.0,1793.0,630.0
5BTG,3,40,3406361,-9008.0,1793.0,785.0
5BTG,3,40,3407361,-9008.0,1793.0,940.0
5BTG,3,40,3401371,-9148.0,1793.0,0.0
5BTG,3,40,3402371,-9148.0,1793.0,165.0
5BTG,3,40,3403371,-9148.0,1793.0,320.0
5BTG,3,40,3404371,-9148.0,1793.0,475.0
5BTG,3,40,3405371,-9148.0,1793.0,630.0
5BTG,3,40,3406371,-9148.0,1793.0,785.0
5BTG,3,40,3407371,-9148.0,1793.0,940.0
5BTG,3,40,3401381,-9288.0,1793.0,0.0
5BTG,3,40,3402381,-9288.0,1793.0,165.0
5BTG,3,40,3403381,-9288.0,1793.0,320.0
5BTG,3,40,3404381,-9288.0,1793.0,475.0
5BTG,3,40,3405381,-9288.0,1793.0,630.0
5BTG,3,40,3406381,-9288.0,1793.0,785.0
5BTG,3,40,3407381,-9288.0,1793.0,940.0
5BTG,3,40,3401391,-9428.0,1793.0,0.0
5BTG,3,40,3402391,-9428.0,1793.0,165.0
5BTG,3,40,3403391,-9428.0,1793.0,320.0
5BTG,3,40,3404391,-9428.0,1793.0,475.0
5BTG,3,40,3405391,-9428.0,1793.0,630.0
5BTG,3,40,3406391,-9428.0,1793.0,785.0
5BTG,3,40,3407391,-9428.0,1793.0,940.0
5BTG,3,40,3401401,-9568.0,1793.0,0.0
5BTG,3,40,3402401,-9568.0,1793.0,165.0
5BTG,3,40,3403401,-9568.0,1793.0,320.0
5BTG,3,40,3404401,-9568.0,1793.0,475.0
5BTG,3,40,3405401,-9568.0,1793.0,630.0
5BTG,3,40,3406401,-9568.0,1793.0,785.0
5BTG,3,40,3407401,-9568.0,1793.0,940.0
5BTG,3,40,3401411,-9708.0,1793.0,0.0
5BTG,3,40,3402411,-9708.0,1793.0,165.0
5BTG,3,40,3403411,-9708.0,1793.0,320.0
5BTG,3,40,3404411,-9708.0,1793.0,475.0
5BTG,3,40,3405411,-9708.0,1793.0,630.0
5BTG,3,40,3406411,-9708.0,1793.0,785.0
5BTG,3,40,3407411,-9708.0,1793.0,940.0
5BTG,3,40,3401421,-9848.0,1793.0,0.0
5BTG,3,40,3402421,-9848.0,1793.0,165.0
5BTG,3,40,3403421,-9848.0,1793.0,320.0
5BTG,3,40,3404421,-9848.0,1793.0,475.0
5BTG,3,40,3405421,-9848.0,1793.0,630.0
5BTG,3,40,3406421,-9848.0,1793.0,785.0
5BTG,3,40,3407421,-9848.0,1793.0,940.0
5BTG,3,40,3401431,-9988.0,1793.0,0.0
5BTG,3,40,3402431,-9988.0,1793.0,165.0
5BTG,3,40,3403431,-9988.0,1793.0,320.0
5BTG,3,40,3404431,-9988.0,1793.0,475.0
5BTG,3,40,3405431,-9988.0,1793.0,630.0
5BTG,3,40,3406431,-9988.0,1793.0,785.0
5BTG,3,40,3407431,-9988.0,1793.0,940.0
5BTG,3,40,3401441,-10128.0,1793.0,0.0
5BTG,3,40,3402441,-10128.0,1793.0,165.0
5BTG,3,40,3403441,-10128.0,1793.0,320.0
5BTG,3,40,3404441,-10128.0,1793.0,475.0
5BTG,3,40,3405441,-10128.0,1793.0,630.0
5BTG,3,40,3406441,-10128.0,1793.0,785.0
5BTG,3,40,3407441,-10128.0,1793.0,940.0
5BTG,3,40,3401451,-10268.0,1793.0,0.0
5BTG,3,40,3402451,-10268.0,1793.0,165.0
5BTG,3,40,3403451,-10268.0,1793.0,320.0
5BTG,3,40,3404451,-10268.0,1793.0,475.0
5BTG,3,40,3405451,-10268.0,1793.0,630.0
5BTG,3,40,3406451,-10268.0,1793.0,785.0
5BTG,3,40,3407451,-10268.0,1793.0,940.0
5BTG,3,40,3401461,-10408.0,1793.0,0.0
5BTG,3,40,3402461,-10408.0,1793.0,165.0
5BTG,3,40,3403461,-10408.0,1793.0,320.0
5BTG,3,40,3404461,-10408.0,1793.0,475.0
5BTG,3,40,3405461,-10408.0,1793.0,630.0
5BTG,3,40,3406461,-10408.0,1793.0,785.0
5BTG,3,40,3407461,-10408.0,1793.0,940.0
