37,3371051S,SYS16298499,68883862,{}
37,3371052S,SYS16266449,69729540,{}
37,3371054S,SYS16290737,68764112,{}
37,3371054S,SYS16302079,68764112,{}
37,3371057S,SYS16266443,69748767,{}
37,3371060S,SYS16266439,68773386,{}
37,3371063S,SYS16266462,68662296,{}
37,3371066S,SYS16267463,68481149,{}
37,3371068S,SYS16266454,68904354,{}
37,3371069S,SYS16298977,68378098,{}
37,3371070S,SYS16293758,68938660,{}
37,3371071S,SYS16282157,68938658,{}
37,3371071S,SYS16283082,68938658,{}
37,3371074S,SYS16282161,68887121,{}
37,3371074S,SYS16297801,68887121,{}
37,3371075S,SYS16305381,68713100,{}
37,3371076S,SYS16282114,68938659,{}
37,3371078S,SYS16308068,68138194,{}
37,3371080S,SYS16282162,68887115,{}
37,3371080S,SYS16290739,68887115,{}
37,3371081S,SYS16267152,68937526,{}
37,3371083S,SYS16267154,68932738,{}
37,3371084S,SYS16267169,67050074,{}
37,3371086S,SYS16267170,67703921,{}
37,3371087S,SYS16267181,67615390,{}
37,3371090S,SYS16285631,69599131,{}
37,3371092S,SYS16305383,69638945,{}
37,3371092S,SYS16309271,69638945,{}
37,3371094S,SYS16282119,62722035,{}
37,3371096S,SYS16308262,69638944,{}
37,3371096S,SYS16308263,69638944,{}
37,3372001S,SYS16162532,68747699,{}
37,3372002S,SYS16264867,68511747,{}
37,3372004S,SYS16307697,68667514,{}
37,3372005S,SYS16262947,68309958,{}
37,3372007S,SYS16262949,68834101,{}
37,3372008S,SYS16262951,68834103,{}
37,3372009S,SYS16263855,68721875,{}
37,3372010S,SYS16295571,68721879,{}
37,3372011S,SYS16262958,68834097,{}
37,3372011S,SYS16282166,68834097,{}
37,3372012S,SYS16262956,68835137,{}
37,3372016S,SYS16272617,68747667,{}
37,3372018S,SYS16264894,69978016,{}
37,3372019S,SYS16282621,68752485,{}
37,3372019S,SYS16295011,68752485,{}
37,3372020S,SYS16285313,69596532,{}
37,3372021S,SYS16295564,69597001,{}
37,3372022S,SYS16264900,68752484,{}
37,3372023S,SYS16264908,68511737,{}
37,3372023S,SYS16298968,68511737,{}
37,3372024S,SYS16264907,67578045,{}
37,3372025S,SYS16264914,68667455,{}
37,3372026S,SYS16264913,68667448,{}
37,3372028S,SYS16264917,68667456,{}
37,3372029S,SYS16264925,68693903,{}
37,3372029S,SYS16282173,68693903,{}
37,3372030S,SYS16264981,69797143,{}
37,3372031S,SYS16282112,69646921,{}
37,3372031S,SYS16282146,69646921,{}
37,3372031S,SYS16299943,69646921,{}
37,3372032S,SYS16264978,69559275,{}
37,3372032S,SYS16294547,68600479,{}
37,3372035S,SYS16307702,68556748,{}
37,3372039S,SYS16308069,69571594,{}
37,3372041S,SYS16309158,68887841,{}
37,3372042S,SYS16309965,69639510,{}
37,3372043S,SYS16266330,68591443,{}
37,3372044S,SYS16266331,67606866,{}
37,3372046S,SYS16282116,69638947,{}
37,3372046S,SYS16282583,69638947,{}
37,3372048S,SYS16298058,68337568,{}
37,3372049S,SYS16266333,68932747,{}
37,3372050S,SYS16282143,69792115,{}
37,3372050S,SYS16299599,69792115,{}
37,3372051S,SYS16299944,69792116,{}
37,3372052S,SYS16266335,68904356,{}
37,3372054S,SYS16292892,68582943,{}
37,3372056S,SYS16268006,68626197,{}
37,3372058S,SYS16266357,68485473,{}
37,3372058S,SYS16268466,68485473,{}
37,3372059S,SYS16266358,68702296,{}
37,3372060S,SYS16309159,69571596,{}
37,3372061S,SYS16266423,69655043,{}
37,3372062S,SYS16266362,69655059,{}
37,3372063S,SYS16290738,69976921,{}
37,3372065S,SYS16268009,68747665,{}
37,3372066S,SYS16307704,69976922,{}
37,3372067S,SYS16266453,68808726,{}
