warehouse,floor_no,rack_no,location_id,x,y,z
5BTG,3,35,3353192,-4892.0,3653.0,395.0
5BTG,3,35,3353201,-5032.0,3518.0,395.0
5BTG,3,35,3353202,-5032.0,3653.0,395.0
5BTG,3,35,3353211,-5172.0,3518.0,395.0
5BTG,3,35,3353212,-5172.0,3653.0,395.0
5BTG,3,35,3353221,-5312.0,3518.0,395.0
5BTG,3,35,3353222,-5312.0,3653.0,395.0
5BTG,3,35,3353231,-5452.0,3518.0,395.0
5BTG,3,35,3353232,-5452.0,3653.0,395.0
5BTG,3,35,3353241,-5592.0,3518.0,395.0
5BTG,3,35,3353242,-5592.0,3653.0,395.0
5BTG,3,35,3353251,-5732.0,3518.0,395.0
5BTG,3,35,3353252,-5732.0,3653.0,395.0
5BTG,3,35,3353261,-5872.0,3518.0,395.0
5BTG,3,35,3353262,-5872.0,3653.0,395.0
5BTG,3,35,3353271,-6012.0,3518.0,395.0
5BTG,3,35,3353272,-6012.0,3653.0,395.0
5BTG,3,35,3353281,-6152.0,3518.0,395.0
5BTG,3,35,3353282,-6152.0,3653.0,395.0
5BTG,3,35,3353291,-6292.0,3518.0,395.0
5BTG,3,35,3353292,-6292.0,3653.0,395.0
5BTG,3,35,3353301,-6432.0,3518.0,395.0
5BTG,3,35,3353302,-6432.0,3653.0,395.0
5BTG,3,35,3353311,-6572.0,3518.0,395.0
5BTG,3,35,3353312,-6572.0,3653.0,395.0
5BTG,3,35,3353321,-6712.0,3518.0,395.0
5BTG,3,35,3353322,-6712.0,3653.0,395.0
5BTG,3,35,3353331,-6852.0,3518.0,395.0
5BTG,3,35,3353332,-6852.0,3653.0,395.0
5BTG,3,35,3353341,-6992.0,3518.0,395.0
5BTG,3,35,3353342,-6992.0,3653.0,395.0
5BTG,3,35,3353351,-7132.0,3518.0,395.0
5BTG,3,35,3353352,-7132.0,3653.0,395.0
5BTG,3,35,3353361,-7272.0,3518.0,395.0
5BTG,3,35,3353362,-7272.0,3653.0,395.0
5BTG,3,35,3353371,-7412.0,3518.0,395.0
5BTG,3,35,3353372,-7412.0,3653.0,395.0
5BTG,3,35,3353381,-7552.0,3518.0,395.0
5BTG,3,35,3353382,-7552.0,3653.0,395.0
5BTG,3,35,3353391,-7692.0,3518.0,395.0
5BTG,3,35,3353392,-7692.0,3653.0,395.0
5BTG,3,35,3353401,-7832.0,3518.0,395.0
5BTG,3,35,3353402,-7832.0,3653.0,395.0
5BTG,3,35,3353411,-7972.0,3518.0,395.0
5BTG,3,35,3353412,-7972.0,3653.0,395.0
5BTG,3,35,3353421,-8112.0,3518.0,395.0
5BTG,3,35,3353422,-8112.0,3653.0,395.0
5BTG,3,35,3353431,-8252.0,3518.0,395.0
5BTG,3,35,3353432,-8252.0,3653.0,395.0
5BTG,3,35,3353441,-8392.0,3518.0,395.0
5BTG,3,35,3353442,-8392.0,3653.0,395.0
5BTG,3,35,3353451,-8532.0,3518.0,395.0
5BTG,3,35,3353452,-8532.0,3653.0,395.0
5BTG,3,35,3353461,-8672.0,3518.0,395.0
5BTG,3,35,3353462,-8672.0,3653.0,395.0
5BTG,3,35,3353471,-8812.0,3518.0,395.0
5BTG,3,35,3353472,-8812.0,3653.0,395.0
5BTG,3,35,3353481,-8952.0,3518.0,395.0
5BTG,3,35,3353482,-8952.0,3653.0,395.0
5BTG,3,35,3353491,-9092.0,3518.0,395.0
5BTG,3,35,3353492,-9092.0,3653.0,395.0
5BTG,3,35,3353501,-9232.0,3518.0,395.0
5BTG,3,35,3353502,-9232.0,3653.0,395.0
5BTG,3,35,3353511,-9372.0,3518.0,395.0
5BTG,3,35,3353512,-9372.0,3653.0,395.0
5BTG,3,35,3353521,-9512.0,3518.0,395.0
5BTG,3,35,3353522,-9512.0,3653.0,395.0
5BTG,3,35,3353531,-9652.0,3518.0,395.0
5BTG,3,35,3353532,-9652.0,3653.0,395.0
5BTG,3,35,3353541,-9792.0,3518.0,395.0
5BTG,3,35,3353542,-9792.0,3653.0,395.0
5BTG,3,35,3353551,-9932.0,3518.0,395.0
5BTG,3,35,3353552,-9932.0,3653.0,395.0
5BTG,3,35,3353561,-10072.0,3518.0,395.0
5BTG,3,35,3353562,-10072.0,3653.0,395.0
5BTG,3,35,3353571,-10212.0,3518.0,395.0
5BTG,3,35,3353572,-10212.0,3653.0,395.0
5BTG,3,35,3353581,-10352.0,3518.0,395.0
5BTG,3,35,3353582,-10352.0,3653.0,395.0
5BTG,3,35,3354031,-2652.0,3518.0,570.0
5BTG,3,35,3354032,-2652.0,3653.0,570.0
5BTG,3,35,3354041,-2792.0,3518.0,570.0
5BTG,3,35,3354042,-2792.0,3653.0,570.0
5BTG,3,35,3354051,-2932.0,3518.0,570.0
5BTG,3,35,3354052,-2932.0,3653.0,570.0
5BTG,3,35,3354061,-3072.0,3518.0,570.0
5BTG,3,35,3354062,-3072.0,3653.0,570.0
5BTG,3,35,3354071,-3212.0,3518.0,570.0
5BTG,3,35,3354072,-3212.0,3653.0,570.0
5BTG,3,35,3354081,-3352.0,3518.0,570.0
5BTG,3,35,3354082,-3352.0,3653.0,570.0
5BTG,3,35,3354091,-3492.0,3518.0,570.0
5BTG,3,35,3354092,-3492.0,3653.0,570.0
5BTG,3,35,3354101,-3632.0,3518.0,570.0
5BTG,3,35,3354102,-3632.0,3653.0,570.0
